city,floorarea,bathrooms,address,latitude,price,bedrooms,zipcode,longitude
Austin,,,Davenport Divide Rd,30.3144,215000,Studio,78738,-97.97165
The Hills,3655,3.5,28 Camwood Trl,30.343593,688000,4,78738,-97.995596
Austin,2545,4,4317 Tambre Bnd,30.314416,434900,4,78738,-97.958682
Bee Cave,2511,3,5413 Castana Bnd,30.31458,530125,4,78738,-97.99244
The Hills,2112,2,16 Tourney Ln,30.350354,450000,3,78738,-97.992359
Bee Cave,2299,3,15513 Cinca Terra Dr,30.32176,381700,3,78738,-97.98683
Dripping Springs,3173,4,203 Sea Hero Pl,30.209544,717900,3,78737,-98.012761
Bee Cave,3020,3,15517 Cinca Terra Dr,30.32176,448500,4,78738,-97.98683
Austin,2610,4,4312 Falcon Head Nest Dr,30.32014,465000,3,78738,-97.971321
Bee Cave,,2,16033 Cinca Terra Dr # AXO3KO,30.31373,387990,3,78738,-97.99416
Bee Cave,,2,16033 Cinca Terra Dr # F38LL4,30.31373,369990,3,78738,-97.99416
Bee Cave,,3.5,16033 Cinca Terra Dr # A5M19X,30.31373,609990,4,78738,-97.99416
Austin,2915,3,385 Mary Elise Way,30.1937,470000,3,78737,-97.9348
Austin,2584,4,11849 Rim Rock Trl,30.209508,800000,3,78737,-97.96561
Dripping Springs,2967,3,503 Gato Del Sol,30.207302,685100,4,78737,-98.012098
Dripping Springs,3749,3.5,481 Gato Del Sol,30.207302,744202,4,78737,-98.012098
Austin,2617,4,227 Venice Cv,30.18488,424990,5,78737,-97.98443
Dripping Springs,,3,227 Smarty Jones # 4FEBIX,30.203404,538990,4,78737,-98.015127
Austin,1226,2,4723 Misty Slope Ln,30.177289,149500,2,78744,-97.754162
Austin,2317,3,412 Limestone Trl,30.21288,335000,4,78737,-97.979408
Austin,3215,3.5,576 Brentwood Dr,30.186866,574271,4,78737,-97.992129
Dripping Springs,,3,227 Smarty Jones # WBZ38R,30.203404,540990,3,78737,-98.015127
Austin,3511,4,301 Emma Loop,30.163008,479900,4,78737,-97.940287
Austin,3326,3,8505 High Summit Ln,30.232943,625000,4,78737,-97.910348
Austin,2689,3,680 Harris Dr,30.189734,375000,4,78737,-97.981528
Austin,1891,3,5805 Magnolia Mist Ln # 46,30.189845,287500,4,78744,-97.740323
Austin,1056,,4712 Nuckols Crossing Rd,30.198107,212990,Studio,78744,-97.736291
Austin,1881,3,5409 Bonneville Bnd,30.1946,267990,3,78744,-97.6898
Austin,1778,2,5101 Bonneville Bnd,30.172795,269990,3,78744,-97.692218
Austin,2023,2.5,2307 Hermia St,30.196311,368990,3,78744,-97.730807
Austin,1693,2.5,5412 Bonneville Bnd,30.177998,267717,3,78744,-97.693834
Austin,2133,3,78 White Magnolia Cir # 60,30.353691,320000,4,78734,-97.958878
Austin,3610,3.5,120 Eaton Ln,30.198158,399900,5,78737,-97.97858
S Austin,3245,3.5,8516 Echo Shr,30.230818,527900,4,78737,-97.9051
Austin,3230,5,1154 Grassy Field Rd,30.166753,524000,5,78737,-97.998914
Austin,3983,5,470 Jacksdaw Ln,30.1937,540000,5,78737,-97.9348
Austin,3518,4,293 Jacksdaw Ln,30.1937,780000,4,78737,-97.9348
Austin,3007,3,186 Big Meadow Rd,30.164721,446990,5,78737,-97.994252
Austin,2931,3,7004 Cardinal Bloom Loop,30.163328,429608,4,78744,-97.7211
Austin,2155,4,8020 Izetta Ln,30.17925,277990,4,78744,-97.7504
Austin,1585,3,516 E Slaughter Ln APT 503,30.163639,248000,2,78744,-97.778287
Austin,1881,3,5317 Bonneville Bnd,30.18946,269990,3,78744,-97.69062
Austin,1669,3,516 E Slaughter Ln APT 502,30.163639,250885,3,78744,-97.778287
Austin,1908,2,5105 Bonneville Bnd,30.1946,279990,3,78744,-97.6898
Austin,2835,2,5008 Mcintyre Cir,30.406921,895000,3,78734,-97.916162
Austin,4863,5,102 Aruba Ct,30.364813,1150000,5,78734,-98.005108
Austin,4347,4.5,208 Montalcino Blvd,30.370753,569541,5,78734,-97.95945
Lakeway,2108,2.5,104 Scamper Cv,30.359532,369000,3,78734,-97.99753
Austin,2294,3,25 Stone Terrace Dr,30.351769,334000,3,78734,-97.957742
Austin,2830,4,126 Welshpool Ct,30.17918,479000,4,78737,-97.981407
Austin,2904,3.5,209 Canterbury Dr,30.196939,358900,4,78737,-97.987511
Austin,2450,3,11100 SW Oaks,30.216767,460000,4,78737,-97.969282
Austin,,2.5,5505 Gooding Dr # QLA6WS,30.175601,258900,3,78744,-97.693596
Austin,2720,4,5109 Bonneville Bnd,30.1946,319990,4,78744,-97.6898
Austin,2075,2.5,8000 Annalise Dr,30.175233,268899,4,78744,-97.692971
Austin,1875,4,516 E Slaughter Ln APT 504,30.163639,266990,3,78744,-97.778287
Austin,1898,2.5,7104 Cherry Beam Path,30.163987,297021,3,78744,-97.723475
Austin,2110,3,5117 Bonneville Bnd,30.17906,269990,3,78744,-97.75047
Lakeway,3691,3,114 Royal Oak Ln,30.358252,649000,4,78734,-97.971812
Austin,4069,3.5,1901 Moeta Dr,30.373077,699000,5,78734,-97.925624
Austin,4962,6,103 St Lucia,30.365556,1299000,5,78734,-98.004518
Austin,11296,6,2600 Rr 620,30.391298,2950000,6,78734,-97.942187
Lakeway,1935,2,114 Evolutions Path,30.343058,397944,3,78734,-97.963771
Austin,2393,3.5,14301 Red Feather Trl,30.382039,475000,3,78734,-97.919627
Austin,2101,2.5,14805 Foy Dr,30.369962,430000,3,78734,-97.936911
Lakeway,,4.5,106 St Lucia # V09G2Z,30.365456,645990,5,78734,-98.003867
Austin,1489,2,5413 Ingersoll Ln,30.173834,245000,3,78744,-97.695565
Austin,,2.5,7016 Cardinal Bloom Loop # FZ6EDJ,30.162332,274990,3,78744,-97.721134
Austin,1996,2,7100 Ondantra Bnd,30.16801,284160,3,78744,-97.7262
Austin,1973,3,8016 Annalise Dr,30.1783,264990,3,78744,-97.75034
Austin,,2.5,5505 Gooding Dr # JVWZHM,30.175601,247990,4,78744,-97.693596
Austin,2697,3,9200 Brents Elm Dr,30.161064,239000,4,78744,-97.78099
Austin,2234,3,4609 Mellow Hollow Dr,30.196908,310000,3,78744,-97.728627
Austin,2193,2.5,2634 Crazyhorse Pass,30.379858,439000,3,78734,-97.925448
Austin,2608,3,329 Marina Village Cv # 329,30.376351,725000,3,78734,-97.984928
Lakeway,,3,106 St Lucia # AYW0ZC,30.365456,590990,4,78734,-98.003867
Lakeway,4017,5,530 Ladin Ln,30.371983,699000,5,78734,-97.965833
Austin,8600,,16519 Kidd Ln,30.413544,950000,5,78734,-97.937719
Austin,1237,2,5931 Hiline Rd # 1202,30.432601,429950,2,78734,-97.937599
AUSTIN,10564,6.5,14425 Agarita Rd,30.398661,19900000,7,78734,-97.906326
Austin,13731,10,14800 Flat Top Ranch Rd,30.368991,7750000,6,78732,-97.912712
Austin,2429,3,13500 Montview Dr,30.381706,440000,3,78732,-97.905107
Austin,2140,2,12920 Appaloosa Chase Dr,30.364229,340000,4,78732,-97.904628
Austin,3174,3,1800 University Club Dr,30.349282,625000,3,78732,-97.893986
AUSTIN,3648,5,1205 River Ridge Dr,30.330589,795000,5,78732,-97.921974
Austin,3340,3,11920 Montclair Bnd,30.341744,492500,4,78732,-97.91006
Austin,1342,2,7701 Rialto Blvd APT 1332,30.253595,230000,2,78735,-97.87507
Austin,4803,2,7100 Comanche Trl,30.413057,4500000,1,78732,-97.894164
Austin,2123,2,3300 Grimes Ranch Rd,30.373795,359900,4,78732,-97.893817
Austin,2806,3,12825 Lantana Ridge Ct,30.37115,397500,5,78732,-97.900345
AUSTIN,2645,3,13509 Montview Dr,30.381498,539000,4,78732,-97.906639
Austin,7648,6,8424 Calera Dr,30.279128,2556000,5,78735,-97.875805
Austin,5075,5,6008 Cervinus Run,30.257862,1290000,5,78735,-97.844973
Austin,1239,3,7701 Rialto Blvd APT 1413,30.253595,229900,2,78735,-97.87507
Austin,3354,4,3742 Lost Creek Blvd,30.284325,824900,4,78735,-97.874685
Austin,1836,3,7800 Southwest Pkwy UNIT 1911,30.256824,409900,2,78735,-97.877031
Austin,2050,2,4804 Park Ln,30.391538,775000,3,78732,-97.891087
Austin,2029,2,12313 Fairway Cv,30.364804,460000,3,78732,-97.893701
Austin,4606,4,13241 Villa Montana Way,30.412965,1799000,3,78732,-97.874121
Austin,3706,4,2600 Rio Mesa Dr,30.362504,499000,5,78732,-97.896929
Austin,3742,5,12620 Capella Trl,30.361083,589000,5,78732,-97.905364
Austin,2029,2,12225 Long Bay Cv,30.363752,439900,3,78732,-97.892395
Austin,3556,4,13233 Bright Sky Overlook,30.362739,570000,4,78732,-97.910041
Austin,1342,2,7701 Rialto Blvd APT 633,30.253595,230000,3,78735,-97.87507
Austin,1818,2,7800 Southwest Pkwy UNIT 2014,30.256824,459900,2,78735,-97.877031
Austin,1836,3,7800 Southwest Pkwy UNIT 612,30.256824,479900,2,78735,-97.877031
Austin,3297,4,4509 Foster Ranch Rd,30.25268,674900,4,78735,-97.846242
Austin,3654,4,8301 Carranzo Dr,30.273191,1449990,3,78735,-97.874818
Austin,2994,3,12716 Coralberry Cv,30.371236,455000,4,78732,-97.896545
Austin,2422,3,4125 Canyon Glen Cir,30.380059,324000,3,78732,-97.887121
Austin,3450,3,13906 Skyline Dr,30.417302,699900,4,78732,-97.889157
Austin,5352,4,12921 Zen Gardens Way,30.340584,1349000,5,78732,-97.92257
Austin,2074,2,12208 Fairway Cv,30.363023,449900,3,78732,-97.892961
Austin,2474,3,13104 Mansfield Dr,30.389198,635000,3,78732,-97.893155
Austin,5723,6,8513 Chalk Knoll Dr,30.289071,1495000,5,78735,-97.866315
AUSTIN,,,8842 Chalk Knoll Dr,30.29463,1249900,--,78735,-97.865242
Austin,5037,6,8412 Chalk Knoll Dr,30.28786,1529000,5,78735,-97.865168
Austin,9713,9,7609 Escala Dr,30.268977,3725000,6,78735,-97.860408
Austin,4706,5,1908 Wimberly Ln,30.292651,925000,5,78735,-97.8771
Austin,3025,3,3600 Barton Creek Blvd,30.282425,779900,4,78735,-97.878325
Austin,3384,3,12705 Lipizzan Ct,30.367347,569500,4,78732,-97.902904
Austin,4134,4,7714 Sandia Loop,30.27624,950000,5,78735,-97.861161
Austin,7736,8,8606 Navidad Dr,30.286154,2800000,6,78735,-97.868206
Austin,5855,4.5,2705 Maravillas Cv,30.287882,1695000,4,78735,-97.870283
Austin,10828,8,7509 Escala Dr,30.270643,3275000,6,78735,-97.858661
Austin,4081,3.5,8907 Mission Creek Cv,30.27961,1130000,4,78735,-97.880552
Austin,6026,6,2604 Chalk Knoll Cv,30.286585,1667000,4,78735,-97.864965
Austin,6010,6,8416 Calera Dr,30.278916,2195500,5,78735,-97.875431
Austin,3599,4,8021 Cobblestone,30.254546,639000,5,78735,-97.88297
Austin,,2.5,7506 Belfair Ter # XA5FDD,30.18394,292990,3,78745,-97.78206
Austin,,2.5,7506 Belfair Ter # NEW6S,30.18394,304990,3,78745,-97.78206
Austin,2213,3,315 Bridgeford Dr,30.2072,334282,3,78745,-97.7997
Austin,2006,3,323 Bridgeford Dr,30.2072,311488,3,78745,-97.7997
Austin,2006,3,311 Bridgeford Dr,30.2072,300993,3,78745,-97.7997
Austin,,2.5,7405 Cooper Ln # 7SMJSQ,30.190107,308900,4,78745,-97.792541
Austin,1192,2,3232 Oak Aly,30.198516,190000,3,78745,-97.83355
Austin,1234,1.5,5063 Fort Clark Dr,30.204473,209500,3,78745,-97.763362
Austin,3446,3,9442 Spring Hollow Dr,30.436918,499000,3,78750,-97.795245
